StudentID,Age,Gender,ParentalEducation,StudyHours_per_week,Absences,PreviousGPA
1,17,Female,University,39,22,3.52
2,18,Male,HighSchool,52,1,2.03
3,16,Male,College,29,9,2.23
4,18,Female,HighSchool,39,1,2.09
5,18,Female,HighSchool,29,16,2.08
6,15,Female,University,33,7,3.71
7,16,Male,College,22,,3.41
8,16,Female,University,50,8,2.95
9,16,Male,University,22,10,2.2
10,18,Male,College,6,21,2.98
11,17,Female,N/A,58,15,2.95
12,16,Female,HighSchool,39,6,2.35
13,18,Male,College,20,9,2.87
14,15,Male,HighSchool,45,22,2.8
15,17,Female,College,40,2,3.23
16,15,Female,College,37,17,3.27
17,17,Female,University,8,24,2.09
18,18,Male,College,37,23,2.75
19,14,Male,University,18,12,3.25
20,17,Male,HighSchool,25,6,3.01
21,15,Male,HighSchool,52,24,3.71
22,18,Male,HighSchool,24,3,3.32
23,17,Male,HighSchool,60,12,2.33
24,14,Female,University,63,19,2.14
25,14,Male,HighSchool,11,0,3.28
26,16,Male,College,7,7,2.05
27,16,Male,College,21,13,3.17
28,15,Female,College,37,15,3.88
29,17,Male,University,52,13,3.15
30,17,Male,HighSchool,16,11,2.78
31,16,Female,HighSchool,63,18,3.29
32,17,Male,HighSchool,55,22,2.92
33,17,Male,University,26,14,3.09
34,14,Male,College,53,1,3.88
35,16,Male,College,26,1,2.77
36,18,Male,HighSchool,50,,3.92
37,16,Female,N/A,34,21,3.81
38,18,Female,College,42,,2.39
39,14,Female,University,42,24,2.14
40,15,Male,University,49,21,2.2
41,17,Male,University,55,21,2.04
42,14,Male,University,58,16,2.19
43,17,Female,HighSchool,12,19,3.37
44,15,Male,University,31,9,2.14
45,15,Male,College,31,5,2.64
46,14,Female,HighSchool,38,14,3.69
47,15,Male,College,25,21,2.05
48,18,Female,College,34,10,3.63
49,15,Female,College,37,4,2.56
50,17,Female,University,32,,2.24
51,17,Male,University,66,7,3.39
52,17,Male,HighSchool,37,20,3.26
53,17,Male,HighSchool,9,11,3.75
54,18,Male,University,64,11,3.47
55,16,Male,College,56,4,3.61
56,14,Male,HighSchool,23,6,2.56
57,17,Male,University,8,3,2.35
58,15,Female,University,39,5,3.5
59,17,Male,University,68,12,3.61
60,15,Female,College,21,19,3.98
61,15,Male,University,48,14,2.83
62,17,Male,University,32,2,2.74
63,18,Male,University,34,22,3.55
64,15,Female,University,33,,2.68
65,15,Female,N/A,50,19,3.86
66,17,Female,HighSchool,57,15,3.72
67,15,Female,University,10,12,2.86
68,15,Male,College,39,17,3.5
69,17,Female,HighSchool,64,9,3.51
70,17,Male,University,45,18,2.21
71,14,Male,HighSchool,41,16,3.81
72,18,Female,HighSchool,28,23,3.01
73,18,Female,College,33,18,3.65
74,15,Female,University,53,22,2.64
75,18,Female,University,50,4,3.79
76,15,Female,College,57,20,2.78
77,14,Female,College,35,22,2.02
78,17,Female,University,39,8,3.81
79,17,Female,University,64,11,2.18
80,17,Male,College,37,20,2.64
81,18,Female,HighSchool,56,0,3.9
82,14,Female,HighSchool,25,0,3.9
83,18,Male,College,36,14,3.15
84,18,Female,HighSchool,27,1,3.26
85,14,Male,College,37,21,2.9
86,14,Male,N/A,7,15,2.59
87,14,Female,HighSchool,22,24,2.66
88,14,Male,University,29,7,3.35
89,17,Male,University,46,12,3.5
90,16,Male,HighSchool,35,20,3.58
91,16,Male,HighSchool,58,0,3.58
92,14,Female,University,64,15,2.18
93,16,Male,N/A,7,6,2.99
94,16,Female,University,44,4,2.12
95,14,Male,College,50,21,3.1
96,16,Male,HighSchool,28,22,2.88
97,18,Male,N/A,63,2,3.78
98,15,Male,HighSchool,36,11,2.7
99,15,Female,College,51,15,2.23
100,14,Female,College,26,18,2.29
