ProductID,AvgCustomerAge,AvgCustomerIncome,RegionPopularity,MonthlySales
1.0,46,57532,46,375.0
2.0,23,35713,69,58.0
3.0,42,95545,56,352.0
4.0,62,67892,33,335.0
5.0,18,130497,96,423.0
,28,92292,26,288.0
7.0,42,50309,59,145.0
8.0,30,50384,98,332.0
9.0,52,38702,1,154.0
10.0,23,42763,81,590.0
11.0,48,39860,3,
12.0,40,53524,53,486.0
13.0,27,62201,83,214.0
14.0,38,86397,73,194.0
15.0,18,75106,45,415.0
16.0,21,51949,65,330.0
17.0,57,138319,34,543.0
18.0,48,37239,39,516.0
19.0,51,91877,3,142.0
20.0,29,72944,54,556.0
21.0,22,54285,57,370.0
22.0,64,45254,79,585.0
23.0,38,107709,66,252.0
,56,111317,64,124.0
25.0,51,36949,50,391.0
26.0,35,36941,79,102.0
27.0,51,113251,38,277.0
28.0,47,100390,51,384.0
29.0,22,133196,4,
30.0,34,117369,17,243.0
31.0,41,132468,34,389.0
32.0,19,99836,43,404.0
33.0,28,146594,23,375.0
34.0,33,101774,75,162.0
35.0,33,54071,4,549.0
36.0,21,138215,25,409.0
37.0,49,131570,27,244.0
38.0,49,105697,61,184.0
39.0,36,87108,5,171.0
40.0,59,66668,22,141.0
41.0,23,134680,12,590.0
42.0,63,81745,49,513.0
43.0,43,142428,27,127.0
44.0,43,40488,47,122.0
45.0,39,40478,56,221.0
46.0,60,49262,48,399.0
47.0,34,125257,36,77.0
,25,109714,52,397.0
49.0,64,112558,56,256.0
50.0,31,58699,87,184.0
51.0,41,144049,26,165.0
52.0,24,35122,23,44.0
53.0,60,68638,18,287.0
54.0,52,64674,15,343.0
55.0,42,68518,28,241.0
56.0,56,146664,17,175.0
57.0,39,86793,44,
58.0,34,33596,84,74.0
59.0,21,37561,67,67.0
60.0,62,56734,86,282.0
61.0,64,103479,40,83.0
62.0,61,102274,42,418.0
63.0,54,92981,52,331.0
64.0,51,105703,59,331.0
65.0,23,33812,33,414.0
66.0,39,122436,70,631.0
67.0,21,107149,75,83.0
68.0,47,43918,24,495.0
69.0,26,43046,3,360.0
70.0,48,145751,36,292.0
71.0,48,46389,66,457.0
72.0,28,117886,6,349.0
73.0,47,114471,51,167.0
74.0,19,30846,75,
75.0,43,76514,45,441.0
76.0,22,36469,26,453.0
77.0,21,121922,84,217.0
78.0,37,66976,12,249.0
79.0,18,134537,14,96.0
80.0,55,31828,11,479.0
81.0,30,146714,3,405.0
82.0,23,141281,10,210.0
83.0,40,39865,44,310.0
84.0,30,35287,2,304.0
85.0,18,31342,73,172.0
86.0,26,146682,15,225.0
87.0,55,56614,35,415.0
88.0,48,136288,69,143.0
89.0,61,72929,78,256.0
90.0,28,100792,34,548.0
91.0,52,147248,40,87.0
92.0,39,35951,93,335.0
93.0,28,71832,14,377.0
94.0,47,116740,37,365.0
95.0,36,53930,78,70.0
96.0,21,46984,42,596.0
97.0,35,73303,72,179.0
98.0,57,123709,32,312.0
99.0,55,101520,23,296.0
100.0,32,39184,25,101.0
