ApplicantID,NumCreditCards,DebtToIncomeRatio,PreviousLoanDefaults,AnnualIncome,RepaymentScore
1.0,1,0.16,3,160462.0,71
2.0,1,0.19,2,115058.0,78
3.0,7,0.39,3,90203.0,67
4.0,2,0.5,1,107246.0,67
5.0,4,0.19,2,145083.0,62
6.0,1,0.55,0,47616.0,83
7.0,7,0.33,3,173642.0,87
,4,0.25,2,153913.0,88
9.0,0,0.22,0,125563.0,74
10.0,4,0.55,2,214599.0,73
11.0,5,0.27,2,225418.0,65
12.0,7,0.18,2,32322.0,69
13.0,3,0.47,2,,50
14.0,0,0.26,0,165593.0,65
15.0,5,0.2,1,32180.0,40
16.0,0,0.15,0,395396.0,69
17.0,3,0.33,3,137351.0,74
18.0,4,0.37,0,154849.0,74
19.0,4,0.46,2,140926.0,71
20.0,3,0.37,2,236085.0,98
21.0,2,0.58,3,109105.0,99
22.0,1,0.57,3,187682.0,74
23.0,0,0.23,3,69412.0,67
24.0,3,0.15,3,36923.0,70
25.0,6,0.18,3,223469.0,67
,4,0.15,0,42342.0,68
27.0,6,0.16,0,206124.0,90
28.0,3,0.16,0,244760.0,73
29.0,7,0.4,2,408400.0,78
30.0,1,0.5,0,83829.0,78
31.0,0,0.53,1,142483.0,79
32.0,1,0.34,2,22109.0,66
33.0,2,0.33,2,77868.0,80
34.0,3,0.31,3,,76
35.0,5,0.21,1,69972.0,80
36.0,6,0.59,0,146663.0,76
37.0,5,0.53,2,217422.0,79
38.0,0,0.25,3,150252.0,87
39.0,2,0.5,1,160708.0,78
40.0,4,0.29,3,151307.0,76
41.0,0,0.49,2,70112.0,77
42.0,1,0.35,2,197212.0,86
43.0,0,0.27,2,204928.0,73
44.0,7,0.24,2,172115.0,62
45.0,6,0.59,3,456148.0,80
46.0,0,0.38,2,116508.0,67
47.0,4,0.19,0,115427.0,74
48.0,7,0.15,3,145875.0,74
49.0,7,0.53,2,183712.0,73
50.0,4,0.17,1,379346.0,79
51.0,1,0.11,2,252560.0,95
52.0,7,0.19,3,136935.0,88
53.0,1,0.56,0,175510.0,77
54.0,1,0.51,2,311785.0,80
55.0,3,0.41,1,237486.0,71
56.0,1,0.53,2,221369.0,68
57.0,7,0.16,1,101526.0,71
58.0,6,0.5,0,-664.0,53
,5,0.47,1,172305.0,96
60.0,0,0.17,2,26916.0,46
61.0,1,0.36,0,178352.0,63
62.0,5,0.56,0,81768.0,60
63.0,5,0.13,0,344219.0,68
64.0,6,0.15,1,237751.0,71
65.0,2,0.4,3,141362.0,75
66.0,1,0.56,1,132210.0,86
67.0,7,0.28,1,219827.0,83
68.0,2,0.15,2,,80
69.0,7,0.32,3,471658.0,80
70.0,7,0.38,1,46500.0,46
71.0,7,0.57,0,230348.0,74
72.0,1,0.12,3,173926.0,80
73.0,2,0.52,2,245114.0,89
74.0,0,0.49,0,131472.0,81
75.0,7,0.46,0,234858.0,68
76.0,7,0.32,2,135826.0,70
77.0,1,0.5,3,153830.0,62
78.0,1,0.15,0,187101.0,85
79.0,4,0.5,0,172389.0,76
80.0,5,0.58,2,149219.0,71
81.0,6,0.46,3,45075.0,56
82.0,0,0.55,3,108923.0,67
83.0,4,0.43,3,195206.0,68
84.0,6,0.6,1,41189.0,75
85.0,5,0.16,2,13039.0,56
86.0,7,0.16,2,183481.0,98
87.0,6,0.53,2,448330.0,77
88.0,2,0.51,0,400522.0,97
89.0,3,0.16,1,254694.0,62
90.0,2,0.27,2,,64
91.0,6,0.26,0,35088.0,51
92.0,1,0.36,0,384090.0,92
93.0,6,0.33,1,71984.0,61
94.0,4,0.29,3,170857.0,82
95.0,5,0.28,1,73459.0,56
96.0,0,0.39,3,161470.0,71
97.0,5,0.31,2,186054.0,89
98.0,0,0.22,2,67155.0,74
99.0,3,0.46,0,33847.0,67
100.0,0,0.56,2,21465.0,75
101.0,0,0.3,3,158284.0,94
102.0,2,0.39,2,43412.0,64
103.0,7,0.33,0,,73
104.0,3,0.22,3,84361.0,89
105.0,4,0.16,2,52011.0,68
106.0,0,0.58,3,78767.0,58
107.0,4,0.41,2,191616.0,74
108.0,2,0.4,0,248094.0,88
109.0,2,0.48,1,87705.0,69
110.0,7,0.33,0,116743.0,82
111.0,0,0.4,1,269870.0,74
112.0,2,0.54,2,272771.0,61
113.0,2,0.58,3,202410.0,68
114.0,2,0.14,3,80534.0,54
115.0,5,0.23,0,95992.0,64
116.0,5,0.58,3,,97
117.0,4,0.53,3,126381.0,64
118.0,1,0.39,3,162733.0,78
119.0,4,0.47,3,242490.0,72
120.0,7,0.22,2,70951.0,75
