LocationID,Year,PM25_ug_m3,Ozone_ppb,IndustrialEmissions_tons
8.0,2014.0,39.0,62.4,40110
3.0,2011.0,7.4,93.7,16251
14.0,2014.0,41.1,29.4,12536
12.0,2019.0,37.3,36.0,10208
2.0,2023.0,37.5,98.7,37935
18.0,2017.0,41.0,68.0,27143
11.0,2012.0,61.8,96.2,31087
11.0,2021.0,61.2,31.7,40499
,2014.0,42.4,69.5,49787
1.0,2009.0,63.2,95.3,7368
1.0,2008.0,31.3,22.7,48219
7.0,2001.0,78.3,36.1,11361
18.0,2014.0,20.0,33.4,7090
3.0,2005.0,49.6,69.3,27015
9.0,2017.0,75.1,95.8,4389
20.0,,66.1,26.4,47163
16.0,2003.0,49.8,82.7,34662
3.0,2008.0,17.3,55.1,16313
12.0,2022.0,53.8,58.3,18650
19.0,2022.0,40.3,79.5,29380
19.0,2011.0,46.7,77.5,1661
5.0,2023.0,78.1,72.0,15025
19.0,2002.0,21.5,53.5,47286
1.0,2006.0,39.7,89.5,1956
20.0,2004.0,30.9,49.7,40443
18.0,2016.0,43.5,67.0,26849
2.0,2003.0,70.5,92.1,46350
,2018.0,49.4,93.0,49364
18.0,2007.0,67.7,38.9,20975
4.0,2015.0,50.1,70.6,1525
14.0,2001.0,18.6,88.4,5648
15.0,2013.0,43.6,48.7,42089
7.0,2005.0,53.9,45.0,3113
3.0,2004.0,5.7,67.1,21939
4.0,2012.0,22.8,38.8,45738
14.0,2015.0,44.0,47.0,46917
9.0,2000.0,38.7,67.0,24499
1.0,2024.0,17.5,33.4,20576
11.0,2004.0,31.8,62.7,27928
17.0,2023.0,65.4,66.8,2742
6.0,2011.0,45.5,22.7,17001
9.0,2004.0,75.2,23.1,40030
3.0,2005.0,18.5,27.1,30856
17.0,2018.0,8.1,31.9,36057
11.0,2001.0,29.2,97.8,16398
15.0,,41.7,73.3,13115
13.0,2019.0,57.9,36.1,5470
8.0,2017.0,19.1,78.5,24196
6.0,2004.0,77.3,40.4,49320
11.0,2009.0,6.3,39.5,25089
8.0,2014.0,47.8,22.4,43823
14.0,2003.0,55.7,37.3,48055
14.0,2020.0,55.0,66.2,9125
2.0,2017.0,50.4,45.4,8848
16.0,2012.0,63.7,65.4,1488
11.0,2003.0,53.8,81.2,2667
6.0,2018.0,65.6,81.0,34768
19.0,2012.0,66.3,29.6,42781
7.0,2024.0,29.6,70.4,38574
15.0,2020.0,33.5,63.9,18824
17.0,2016.0,38.3,21.2,45298
3.0,2007.0,55.1,69.6,36757
9.0,2002.0,45.7,96.1,44461
,2004.0,34.9,66.4,12563
4.0,2014.0,34.6,64.0,17173
18.0,2011.0,76.7,21.5,34174
11.0,2022.0,72.3,25.7,40310
4.0,2010.0,33.5,35.8,38650
2.0,2013.0,41.4,40.5,29211
14.0,2014.0,44.9,66.5,43641
2.0,2016.0,78.3,85.9,21829
11.0,2006.0,56.1,34.5,8052
7.0,2023.0,64.5,34.8,25611
20.0,2003.0,11.5,85.3,22675
13.0,2009.0,13.4,20.2,24669
9.0,2008.0,53.5,34.0,39520
10.0,2007.0,62.7,64.5,35084
4.0,2017.0,59.9,88.1,32910
10.0,2024.0,12.2,69.9,4040
18.0,2004.0,17.6,78.9,18633
1.0,2022.0,45.2,34.3,3852
15.0,2002.0,50.5,63.7,10160
14.0,2012.0,49.6,59.7,34537
3.0,2006.0,57.1,52.3,33117
7.0,2008.0,56.9,99.3,30371
