SensorID,Timestamp,EventType,EventSeverity
4.0,2024-01-01 00:00:00,Accident,5.0
4.0,2024-01-01 03:00:00,Accident,3.0
6.0,2024-01-01 06:00:00,Accident,5.0
7.0,2024-01-01 09:00:00,Construction,
2.0,2024-01-01 12:00:00,Construction,3.0
1.0,2024-01-01 15:00:00,Accident,
4.0,2024-01-01 18:00:00,None,
8.0,2024-01-01 21:00:00,None,
4.0,2024-01-02 00:00:00,None,2.0
3.0,2024-01-02 03:00:00,Construction,4.0
5.0,2024-01-02 06:00:00,Construction,2.0
6.0,2024-01-02 09:00:00,None,
10.0,2024-01-02 12:00:00,Construction,4.0
8.0,2024-01-02 15:00:00,Accident,1.0
8.0,2024-01-02 18:00:00,Accident,4.0
,2024-01-02 21:00:00,None,
10.0,2024-01-03 00:00:00,Accident,2.0
6.0,2024-01-03 03:00:00,Construction,
8.0,2024-01-03 06:00:00,None,3.0
1.0,2024-01-03 09:00:00,Accident,
10.0,2024-01-03 12:00:00,Accident,1.0
6.0,2024-01-03 15:00:00,None,5.0
9.0,2024-01-03 18:00:00,Accident,2.0
5.0,2024-01-03 21:00:00,None,3.0
4.0,2024-01-04 00:00:00,Construction,3.0
2.0,2024-01-04 03:00:00,None,
2.0,2024-01-04 06:00:00,None,3.0
3.0,2024-01-04 09:00:00,Accident,
7.0,2024-01-04 12:00:00,Accident,
8.0,2024-01-04 15:00:00,Accident,
6.0,2024-01-04 18:00:00,Construction,
5.0,2024-01-04 21:00:00,Accident,1.0
1.0,2024-01-05 00:00:00,None,4.0
8.0,2024-01-05 03:00:00,Accident,1.0
7.0,2024-01-05 06:00:00,None,
1.0,2024-01-05 09:00:00,Construction,
8.0,2024-01-05 12:00:00,Construction,1.0
3.0,2024-01-05 15:00:00,Construction,
6.0,2024-01-05 18:00:00,Construction,
6.0,2024-01-05 21:00:00,Accident,4.0
8.0,2024-01-06 00:00:00,Construction,3.0
10.0,2024-01-06 03:00:00,Accident,2.0
7.0,2024-01-06 06:00:00,None,2.0
8.0,2024-01-06 09:00:00,None,
3.0,2024-01-06 12:00:00,None,
,2024-01-06 15:00:00,None,
5.0,2024-01-06 18:00:00,Accident,
8.0,2024-01-06 21:00:00,Construction,
8.0,2024-01-07 00:00:00,Accident,4.0
6.0,2024-01-07 03:00:00,None,
7.0,2024-01-07 06:00:00,None,2.0
1.0,2024-01-07 09:00:00,None,
3.0,2024-01-07 12:00:00,Construction,4.0
2.0,2024-01-07 15:00:00,None,5.0
10.0,2024-01-07 18:00:00,None,3.0
7.0,2024-01-07 21:00:00,Accident,
5.0,2024-01-08 00:00:00,Construction,
9.0,2024-01-08 03:00:00,None,
4.0,2024-01-08 06:00:00,Accident,4.0
10.0,2024-01-08 09:00:00,Construction,3.0
7.0,2024-01-08 12:00:00,Construction,1.0
3.0,2024-01-08 15:00:00,Construction,1.0
9.0,2024-01-08 18:00:00,Construction,
6.0,2024-01-08 21:00:00,Construction,4.0
10.0,2024-01-09 00:00:00,None,2.0
5.0,2024-01-09 03:00:00,Construction,
5.0,2024-01-09 06:00:00,Construction,1.0
2.0,2024-01-09 09:00:00,Construction,1.0
10.0,2024-01-09 12:00:00,Construction,5.0
6.0,2024-01-09 15:00:00,Accident,
6.0,2024-01-09 18:00:00,Accident,2.0
9.0,2024-01-09 21:00:00,Construction,
1.0,2024-01-10 00:00:00,Construction,
10.0,2024-01-10 03:00:00,Construction,
6.0,2024-01-10 06:00:00,Accident,3.0
4.0,2024-01-10 09:00:00,Accident,5.0
8.0,2024-01-10 12:00:00,Accident,
7.0,2024-01-10 15:00:00,None,2.0
8.0,2024-01-10 18:00:00,Accident,5.0
10.0,2024-01-10 21:00:00,None,
3.0,2024-01-11 00:00:00,Construction,1.0
2.0,2024-01-11 03:00:00,Accident,2.0
9.0,2024-01-11 06:00:00,Accident,
1.0,2024-01-11 09:00:00,None,
8.0,2024-01-11 12:00:00,None,
3.0,2024-01-11 15:00:00,None,5.0
6.0,2024-01-11 18:00:00,Accident,3.0
1.0,2024-01-11 21:00:00,Construction,
,2024-01-12 00:00:00,None,
8.0,2024-01-12 03:00:00,Accident,5.0
7.0,2024-01-12 06:00:00,Construction,1.0
9.0,2024-01-12 09:00:00,Construction,3.0
9.0,2024-01-12 12:00:00,None,2.0
1.0,2024-01-12 15:00:00,Accident,
6.0,2024-01-12 18:00:00,None,5.0
9.0,2024-01-12 21:00:00,Construction,
7.0,2024-01-13 00:00:00,None,4.0
3.0,2024-01-13 03:00:00,Construction,
7.0,2024-01-13 06:00:00,None,
8.0,2024-01-13 09:00:00,Accident,
2.0,2024-01-13 12:00:00,Construction,3.0
7.0,2024-01-13 15:00:00,None,
8.0,2024-01-13 18:00:00,Construction,5.0
9.0,2024-01-13 21:00:00,Accident,1.0
10.0,2024-01-14 00:00:00,None,2.0
3.0,2024-01-14 03:00:00,None,3.0
2.0,2024-01-14 06:00:00,None,3.0
7.0,2024-01-14 09:00:00,Accident,
1.0,2024-01-14 12:00:00,Accident,
9.0,2024-01-14 15:00:00,None,4.0
