CustomerID,CallCenterInteractions,ComplaintCount,TechSupportTickets,PaymentIssues
C0001,6,7,7,1
C0002,3,6,1,0
C0003,12,4,9,1
C0004,14,5,7,1
C0005,10,4,2,1
C0006,7,6,6,0
C0007,12,2,2,0
C0008,4,3,6,1
C0009,6,1,1,0
C0010,9,7,9,1
C0011,2,2,5,0
C0012,6,4,2,0
C0013,10,5,2,0
C0014,10,0,8,0
C0015,7,4,6,1
C0016,4,5,4,1
C0017,3,3,9,1
C0018,7,4,6,0
C0019,7,6,8,0
C0020,2,0,0,0
C0021,5,5,6,0
C0022,4,5,5,0
C0023,1,5,9,0
C0024,7,3,8,0
C0025,11,4,0,0
C0026,13,3,3,1
C0027,5,7,8,1
C0028,1,1,3,0
C0029,11,1,9,0
C0030,4,7,2,1
C0031,0,4,8,0
C0032,11,6,1,1
C0033,9,3,3,1
C0034,5,0,5,0
C0035,12,5,1,0
C0036,11,5,7,0
C0037,8,4,7,0
C0038,0,6,0,0
C0039,10,1,2,1
C0040,10,1,9,0
C0041,14,5,8,0
C0042,9,4,4,1
C0043,11,3,5,1
C0044,11,1,3,0
C0045,14,3,9,0
C0046,13,6,1,0
C0047,13,1,7,0
C0048,14,1,5,0
C0049,13,2,4,0
C0050,2,1,8,1
C0051,11,7,0,0
C0052,6,0,4,1
C0053,3,7,5,1
C0054,8,4,4,0
C0055,2,4,5,1
C0056,4,3,5,0
C0057,2,7,6,1
C0058,6,7,3,0
C0059,4,7,7,0
C0060,8,6,6,0
C0061,6,1,8,1
C0062,1,0,6,1
C0063,3,3,2,0
C0064,8,7,2,1
C0065,11,7,7,0
C0066,13,2,4,0
C0067,1,3,3,0
C0068,9,7,7,0
C0069,8,3,5,0
C0070,9,1,1,1
C0071,4,2,3,0
C0072,1,3,3,0
C0073,3,0,5,0
C0074,11,0,5,1
C0075,14,4,0,1
C0076,11,2,7,0
C0077,6,2,5,1
C0078,11,4,2,0
C0079,12,3,8,1
C0080,7,2,1,0
C0081,14,0,7,1
C0082,2,0,9,0
C0083,13,7,2,0
C0084,0,1,4,1
C0085,3,2,5,0
C0086,1,3,9,0
C0087,7,4,5,0
C0088,3,4,3,0
C0089,1,3,2,0
C0090,13,6,3,0
C0091,5,5,0,0
C0092,5,1,3,0
C0093,9,4,0,1
C0094,3,2,0,0
C0095,5,1,9,0
C0096,12,2,5,0
C0097,14,6,4,0
C0098,1,0,3,1
C0099,9,1,2,0
C0100,11,7,0,0
C0101,1,4,5,1
C0102,9,1,1,1
C0103,13,1,7,0
C0104,3,1,9,1
C0105,13,5,4,1
C0106,14,1,6,0
C0107,14,2,9,1
C0108,7,0,1,1
C0109,13,6,7,0
C0110,6,3,1,0
C0111,11,1,3,0
C0112,8,4,0,1
C0113,13,1,4,1
C0114,7,4,8,0
C0115,4,2,0,0
C0116,12,4,8,0
C0117,1,7,7,0
C0118,14,3,5,0
C0119,4,0,6,0
C0120,7,4,2,1
C0121,9,4,0,0
C0122,8,0,4,1
C0123,11,3,1,0
C0124,11,1,4,0
C0125,11,4,7,0
C0126,12,0,8,0
C0127,8,7,1,1
C0128,12,7,2,0
C0129,14,2,2,1
C0130,12,0,0,0
C0131,0,2,7,1
C0132,8,7,5,0
C0133,6,3,7,1
C0134,8,1,8,1
C0135,7,0,4,0
C0136,0,6,2,0
C0137,11,7,4,1
C0138,7,7,4,1
C0139,7,6,4,0
C0140,14,5,2,1
C0141,10,7,9,1
C0142,2,4,3,1
C0143,0,3,8,1
C0144,7,0,9,1
C0145,2,6,8,0
C0146,2,4,1,0
C0147,0,6,7,0
C0148,10,0,7,1
C0149,4,2,6,1
C0150,9,0,7,0
C0151,6,5,2,1
C0152,9,0,5,1
C0153,8,0,0,0
C0154,11,5,6,0
C0155,6,3,0,0
C0156,8,7,8,0
C0157,7,0,0,0
C0158,11,5,0,0
C0159,1,4,6,0
C0160,0,2,1,0
C0161,6,2,4,0
C0162,6,0,7,0
C0163,13,3,7,1
C0164,7,3,2,0
C0165,4,4,6,1
C0166,2,0,2,1
C0167,11,2,5,0
C0168,7,3,5,0
C0169,5,0,2,0
C0170,10,6,6,0
C0171,2,3,2,0
C0172,0,5,7,0
C0173,2,6,9,0
C0174,4,7,3,0
C0175,14,3,0,0
C0176,13,2,3,0
C0177,2,1,6,0
C0178,0,6,3,0
C0179,4,7,5,0
C0180,9,4,8,1
C0181,6,4,0,0
C0182,14,2,4,0
C0183,13,3,6,0
C0184,6,0,0,0
C0185,10,3,3,1
C0186,8,2,5,1
C0187,14,4,1,0
C0188,14,3,9,1
C0189,9,4,4,1
C0190,9,6,9,1
C0191,11,7,0,1
C0192,12,0,5,1
C0193,2,6,5,0
C0194,14,4,3,0
C0195,6,4,7,0
C0196,0,1,3,0
C0197,3,1,7,0
C0198,12,6,7,0
C0199,3,5,4,0
C0200,13,6,3,1
C0201,4,1,1,1
C0202,6,4,2,0
C0203,6,2,2,0
C0204,12,6,3,1
C0205,14,4,3,0
C0206,10,2,9,1
C0207,12,2,4,0
C0208,3,1,3,0
C0209,12,6,9,1
C0210,6,3,7,0
C0211,10,0,5,0
C0212,2,1,5,1
C0213,5,1,7,0
C0214,11,3,6,0
C0215,1,0,9,1
C0216,9,4,9,0
C0217,12,5,7,1
C0218,13,6,1,0
C0219,8,5,8,0
C0220,4,4,0,0
C0221,5,7,7,0
C0222,11,1,3,1
C0223,11,0,3,1
C0224,11,1,4,0
C0225,11,2,7,1
C0226,3,1,4,0
C0227,13,1,7,0
C0228,13,4,9,0
C0229,10,4,0,0
C0230,9,4,9,0
C0231,6,5,8,1
C0232,11,2,5,0
C0233,8,7,2,0
C0234,6,7,7,0
C0235,13,4,8,0
C0236,0,0,5,1
C0237,0,5,6,0
C0238,8,3,0,0
C0239,10,0,4,0
C0240,13,6,4,0
C0241,8,6,9,0
C0242,3,0,3,0
C0243,12,4,5,1
C0244,8,3,6,1
C0245,2,3,8,0
C0246,6,5,0,0
C0247,5,3,5,0
C0248,7,6,6,0
C0249,10,2,2,0
C0250,8,4,7,0
C0251,13,3,4,0
C0252,4,5,8,0
C0253,0,6,4,0
C0254,2,2,8,0
C0255,9,1,9,0
C0256,11,1,3,0
C0257,7,2,8,0
C0258,14,6,4,1
C0259,10,5,9,0
C0260,5,2,8,1
C0261,7,4,2,0
